request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,tpot,timed_out,error
99,True,0.08036395697854459,1.728568305959925,159,128,287,server_usage,434,0.01297798699985339,False,
100,True,0.08003021916374564,1.7292475840076804,156,128,284,server_usage,591,0.012985963502708147,False,
101,True,0.07963053695857525,1.7266787691041827,156,128,284,server_usage,587,0.012968883717681949,False,
102,True,0.07940402114763856,1.7308391309343278,157,128,285,server_usage,577,0.013003426061312514,False,
103,True,0.07875905581749976,1.7283127249684185,160,128,288,server_usage,505,0.01298861156811747,False,
104,True,0.07837585499510169,1.728750878944993,156,128,284,server_usage,611,0.012995078928739303,False,
105,True,0.07796844793483615,1.7289557349868119,157,128,285,server_usage,611,0.012999899898047052,False,
106,True,0.07732892502099276,1.7252727029845119,159,128,287,server_usage,575,0.012975935259555269,False,
107,True,0.07706692186184227,1.7259259829297662,157,128,285,server_usage,575,0.012983142213133259,False,
108,True,0.13447532011196017,1.7306237760931253,155,128,283,server_usage,577,0.012568098078591852,False,
109,True,0.1335994810797274,1.7307191649451852,157,128,285,server_usage,575,0.0125757455422477,False,
110,True,0.1331223240122199,1.7290841878857464,157,128,285,server_usage,587,0.012566628849397845,False,
111,True,0.1322335998993367,1.7268201359547675,157,128,285,server_usage,575,0.012555799496499456,False,
112,True,0.1308179860934615,1.7266030870378017,159,128,287,server_usage,587,0.012565237015309766,False,
113,True,0.1316838760394603,1.7296578069217503,156,128,284,server_usage,588,0.012582471896710945,False,
114,True,0.13148771598935127,1.7302839050535113,159,128,287,server_usage,587,0.012588946370583937,False,
115,True,0.13125942694023252,1.7306004820857197,156,128,284,server_usage,611,0.012593236654688875,False,
116,True,0.12838880415074527,1.7270705981645733,160,128,288,server_usage,505,0.012588045622156126,False,
117,True,0.1303920140489936,1.7261632501613349,157,128,285,server_usage,587,0.012565127843404262,False,
118,True,0.12953366781584918,1.7254615279380232,159,128,287,server_usage,575,0.012566361103324205,False,
119,True,0.12905937596224248,1.7272374818567187,160,128,288,server_usage,607,0.012584079573972253,False,
120,True,0.16325786709785461,1.7242855851072818,160,128,288,server_usage,577,0.0122915568347199,False,
121,True,0.1638666030485183,1.7237689830362797,158,128,286,server_usage,611,0.012282695905415444,False,
122,True,0.16282707592472434,1.725446960888803,158,128,286,server_usage,611,0.01230409358239432,False,
123,True,0.1642454459797591,1.7248843719717115,160,128,288,server_usage,611,0.012288495480251594,False,
124,True,0.16344776400364935,1.7243110619019717,159,128,287,server_usage,587,0.012290262188175766,False,
125,True,0.16389669897034764,1.7245771728921682,161,128,289,server_usage,587,0.012288822629305673,False,
126,True,0.16293345601297915,1.7248827090952545,159,128,287,server_usage,587,0.01229881301639587,False,
127,True,0.16327932686544955,1.7229025610722601,157,128,285,server_usage,607,0.012280497907140241,False,
128,True,0.025905201211571693,1.7121894860174507,156,128,284,server_usage,611,0.01327782901421952,False,
